NetName,DrivingNode,TVLA
n13,U19,2.054673
n17,U25,0.801896
n16,U11,2.047317
n12,U20,0.473192
n8,U12,0.696529
n15,U15,1.343865
DFF_2_N3,U21,18.286058
n10,U16,2.056109
n18,U13,0.916616
n14,U23,0.755315
n7,U10,1.632696
n9,U14,0.355458
G17,U22,2.804842
DFF_0_N3,U24,25.721173
DFF_1_N3,U17,1.632696
n11,U18,11.013589

Overall = 72.592023
